id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
3,2025-02-14,540,42,4,9,1611.53,92.05,173298.36
4,2026-09-01,2821,40,10,5,1866.62,456.99,244461.27
7,2025-02-09,1254,25,11,4,1400.82,188.4,258202.93
10,2026-01-24,2281,69,13,3,791.38,67.44,20710.0
13,2025-08-19,1527,9,14,9,708.37,105.04,27042.54
14,2026-01-20,367,65,1,11,0.0,122.12,249504.31
19,2025-05-19,1693,50,3,9,1257.43,237.2,106454.95
23,2025-03-21,61,19,3,5,1403.46,112.05,163649.61
26,2025-07-29,2295,71,11,4,614.46,149.78,36670.97
27,2025-06-25,352,30,3,6,-1290.55,179.37,162227.75
28,2025-02-21,1213,65,8,9,464.73,25.26,18041.73
30,2025-07-05,2493,14,12,4,816.71,199.22,106724.98
33,2025-09-18,1034,67,2,8,73.63,13.25,6844.04
36,2025-06-12,2313,53,12,6,779.35,64.18,95204.18
37,2025-11-13,2846,75,10,3,800.22,104.7,66127.82
41,2025-11-10,3651,48,13,5,816.63,106.27,136809.9
43,2025-11-06,2657,8,6,1,-1261.22,106.86,248818.74
45,2025-12-11,2278,66,3,11,1539.37,240.41,114732.26
46,2025-11-04,2761,28,2,1,564.21,57.82,23965.61
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,86.45,66871.99
51,2025-06-04,2801,67,5,4,1612.8,321.59,156855.81
52,2025-01-24,1746,33,1,10,1429.69,78.5,173202.87
53,2025-09-29,1962,79,1,3,0.0,305.78,265915.68
54,2025-07-22,2969,3,4,3,421.01,63.89,13911.37
55,2026-02-12,2340,26,10,6,1954.65,431.08,150219.71
61,2025-07-03,1759,23,4,12,142.93,13.14,3134.79
62,2025-12-16,584,36,4,8,695.24,63.23,28262.23
63,2025-03-05,3691,55,10,7,-1680.49,242.41,238110.36
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
68,2025-02-14,475,43,13,3,1643.29,187.12,235726.94
71,2025-08-16,3656,77,10,2,258.6,22.67,26081.96
72,2026-01-28,2797,14,2,7,51.1,8.38,9228.48
74,2025-01-04,2814,64,5,7,1809.88,358.53,279782.46
77,2025-11-12,2386,79,14,12,1324.27,144.93,92440.33
78,2025-10-25,698,55,3,7,1298.49,305.47,92537.75
80,2025-09-17,914,64,6,7,1348.69,282.52,44463.35
82,2025-07-18,2392,21,3,4,0.0,83.63,33866.99
84,2025-01-28,772,18,3,4,572.28,84.39,41526.61
85,2025-03-18,151,6,7,2,967.01,62.59,92114.86
86,2025-10-10,3714,32,15,11,1214.28,293.02,56519.26
88,2025-06-03,1671,28,12,6,885.97,132.85,95429.55
91,2025-06-24,2778,14,3,1,158.84,26.5,9146.22
93,2025-06-22,919,4,8,2,361.25,84.51,9964.1
95,2026-01-18,106,11,3,7,1953.28,313.86,356037.27
97,2025-08-29,2027,71,15,9,558.7,77.27,92679.07
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
103,2025-05-26,927,29,7,9,1179.01,231.56,150298.39
104,2025-10-20,3524,7,11,8,149.44,10.64,17925.05
106,2025-06-14,2438,58,12,5,546.09,110.32,44986.21
108,2026-12-02,1620,74,13,11,1235.45,155.5,50330.02
112,2025-05-05,1463,74,7,2,1025.16,94.24,171583.25
116,2025-09-23,2659,80,8,10,1986.64,307.82,376125.57
118,2025-05-08,2114,78,1,2,348.72,36.88,68328.79
125,2025-10-12,1886,12,13,12,1521.54,127.08,234686.27
127,2025-05-18,1793,11,12,1,843.06,154.42,51393.0
129,2025-03-06,1894,29,12,11,1354.93,102.04,161419.79
130,2025-06-25,1384,38,15,7,1066.35,208.25,155755.8
133,2025-12-20,1793,4,1,11,1705.58,389.27,107532.29
135,2026-01-24,1540,19,9,4,533.11,71.9,70594.31
140,2025-02-17,1227,48,8,5,1435.54,163.56,44225.55
141,2025-01-14,2101,71,3,5,1904.59,167.05,287937.3
143,2025-02-09,2342,41,10,10,169.2,9.37,31558.02
144,2025-01-05,354,71,15,10,219.57,53.42,8891.18
148,2025-12-23,848,13,8,3,505.33,68.83,88566.14
149,2025-02-12,892,71,15,10,229.87,16.79,25541.31
150,2025-05-20,1080,76,6,7,104.24,15.49,6890.09
151,2025-03-19,927,10,14,7,1524.01,139.89,138665.57
159,2025-09-04,1637,5,2,5,748.78,82.65,84100.56
160,2025-12-26,1554,9,2,7,1101.08,81.1,82850.58
162,2025-02-15,1094,4,4,5,1760.71,326.32,235475.6
163,2025-01-04,354,12,10,7,1304.88,101.17,142724.83
164,2026-01-16,851,50,13,9,501.92,62.0,81059.4
166,2025-05-09,2302,35,4,12,1924.36,409.1,50238.7
167,2026-02-20,743,77,6,5,605.91,121.04,58769.89
170,2025-12-18,2800,6,1,2,917.66,131.25,177908.61
172,2025-09-05,693,69,13,8,1440.24,319.57,199499.58
176,2025-12-09,2956,62,5,9,-1365.65,333.57,149134.25
178,2026-01-04,833,71,4,10,1310.85,160.19,41123.88
183,2025-04-21,513,50,11,5,723.36,174.04,62801.44
185,2026-01-04,1468,27,7,12,1852.09,243.81,347316.23
186,2026-01-31,2129,30,8,3,1795.66,388.9,298913.7
189,2025-02-09,1725,74,11,7,1103.69,252.45,151711.76
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
192,2025-12-22,1525,3,4,3,234.48,35.63,36663.52
194,2025-07-05,583,72,10,6,1462.11,99.14,221551.14
196,2025-06-14,1172,54,6,7,1568.46,283.24,87378.2
198,2025-10-16,876,77,2,7,1351.69,68.96,50400.3
199,2025-07-31,1268,39,15,8,1558.42,251.72,191348.34
200,2026-02-12,239,79,11,1,1218.97,181.78,225902.31
204,2025-11-27,2424,50,5,7,1614.32,388.18,80347.81
205,2025-06-04,419,46,7,1,1653.96,249.55,51983.28
206,2025-10-28,241,28,8,7,556.14,58.53,54199.33
207,2026-01-22,974,74,14,11,839.87,94.57,69882.74
213,2025-07-12,214,28,8,11,192.43,45.37,21029.68
214,2025-12-20,743,54,13,12,306.05,17.31,18766.83
217,2025-11-06,432,3,15,10,1422.59,251.31,174594.04
221,2025-03-15,2725,80,11,1,616.19,75.06,115464.32
222,2026-01-21,1600,78,2,10,1622.52,144.49,60407.59
224,2025-01-05,777,40,10,9,298.58,63.17,27470.47
225,2025-07-13,645,64,12,8,1651.96,180.18,80061.7
226,2025-04-02,832,44,3,6,1664.22,213.11,43423.44
227,2025-07-05,232,44,13,3,66.1,8.06,10033.13
228,2025-11-10,2555,30,5,11,341.36,395.85,51411.63
232,2025-05-25,1421,17,7,4,1546.13,170.23,176385.79
236,2025-07-10,2906,18,7,3,235.8,42.67,25121.58
238,2025-12-16,1485,30,4,4,1779.97,368.63,334475.3
242,2025-08-06,1884,61,12,8,548.88,77.84,32829.84
253,2025-01-14,1563,59,10,10,792.74,145.28,71091.98
258,2025-09-23,1821,50,7,10,555.6,92.6,37621.89
261,2025-06-04,2956,78,2,4,843.81,106.28,165119.46
263,2025-04-16,828,38,15,7,961.19,172.58,65328.26
264,2025-04-11,2337,80,8,5,267.35,45.16,43006.11
266,2025-01-12,1750,12,5,5,469.18,53.62,82199.39
269,2025-09-13,1685,65,8,1,0.0,132.5,112445.07
275,2025-03-07,1637,46,5,1,1958.02,109.4,249654.56
277,2025-06-04,2165,16,13,12,113.44,11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
281,2025-12-12,1387,2,14,12,1536.3,234.29,108632.52
284,2025-09-07,1163,16,3,4,1052.91,83.89,75727.87
285,2025-07-06,2457,37,9,5,1159.92,229.02,119625.01
286,2025-03-02,631,43,6,10,480.94,110.77,90139.34
287,2025-09-09,605,62,7,6,434.82,27.2,30848.23
288,2025-07-06,1378,72,4,5,738.72,128.9,59480.36
297,2025-05-12,1573,79,4,10,1252.38,146.52,45753.53
300,2025-09-09,1233,67,6,8,1027.81,61.97,69674.38
303,2025-08-22,2931,13,14,6,317.71,31.74,11090.61
304,2025-01-05,917,41,15,9,673.03,106.8,89286.47
305,2025-04-06,2007,76,12,12,142.86,161.2,8185.49
307,2025-08-31,78,24,6,10,1259.85,87.1,50836.92
308,2025-05-03,905,6,7,2,71.14,14.24,12910.64
309,2025-08-17,980,20,1,5,529.37,91.01,52844.12
310,2025-07-25,355,53,6,6,1044.88,139.7,48271.62
315,2025-05-06,282,9,6,12,644.32,97.22,103239.66
316,2026-01-27,3776,1,6,8,1431.9,177.07,106644.92
321,2025-10-20,830,48,8,1,1344.7,1724.81,266633.14
323,2025-01-14,2484,29,7,1,1195.89,76.06,83832.92
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
333,2025-12-03,2372,29,2,8,1307.34,198.89,105131.68
336,2025-11-26,1444,54,3,10,550.34,49.47,20954.52
338,2025-06-28,1141,75,3,2,1845.6,92.8,319554.79
339,2026-01-26,2571,76,4,6,924.18,222.4,53440.43
340,2025-08-23,1514,51,1,11,230.39,56.57,21695.02
341,2025-03-25,14,23,2,4,716.28,71.72,64529.32
344,2025-09-07,1385,52,2,7,1053.46,243.44,85054.56
350,2025-09-06,1119,74,2,6,423.21,33.82,17124.02
351,2025-07-26,2186,22,15,4,615.15,97.58,115731.56
352,2025-09-02,335,32,13,3,69.55,5.42,4481.9
353,2025-01-16,1274,18,10,12,435.91,108.35,81976.35
354,2025-10-04,2871,64,8,3,196.33,27.44,15872.78
357,2025-07-15,2655,25,11,11,374.5,81.21,44517.01
358,2026-01-31,2665,30,2,9,1247.68,154.02,77789.9
362,2025-04-12,2822,46,2,12,1422.8,332.01,35091.58
364,2025-12-14,707,28,11,9,268.47,41.13,26697.38
365,2026-01-15,2794,41,15,3,1910.72,141.4,348837.15
367,2025-01-05,2182,13,9,1,524.74,70.05,62174.08
369,2025-10-21,1959,2,4,11,300.3,16.25,16152.36
370,2025-02-03,185,3,5,7,53.79,2.82,3905.87
374,2025-05-24,465,69,9,11,109.71,26.59,13623.02
380,2025-08-01,1145,13,15,1,1907.5,471.37,227662.64
381,2025-09-12,243,34,10,9,858.13,57.01,141537.21
384,2025-01-12,1158,68,2,2,1861.73,346.31,57069.12
385,2025-02-19,2090,16,3,8,766.05,50.66,127959.71
387,2025-07-14,48,63,2,4,1487.16,267.57,84325.7
393,2025-07-08,1157,7,1,7,66.98,10.96,11874.36
394,2025-09-12,1895,76,4,9,735.69,132.66,53150.39
395,2025-07-04,1038,46,12,4,1225.95,71.97,191272.59
398,2025-06-22,1255,78,12,12,1796.91,345.46,150449.96
