id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,16-10-2025,2092.59,Abierto
2,2465,01/08/2025,"7,076.25",Abierto
3,15785,19-09-2025, 702.27 ,Cerrado
4,14299,27/09/2025, 274.63 ,Abierto
5,12908,01/12/2025,"9,377.69",Rechazado
7,3379,2025/08/16,"10,513.30",Abierto
8,23824,17-01-2025,2736.20,Abierto
10,19947,2025/09/12,8801.03,Cerrado
11,6448,31/05/2025,"1.619,38",Abierto
13,3716,13-07-2025,-4274.39,Rechazado
15,19142,2025/01/29,14533.77,Abierto
17,2112,2025-08-01,"11.995,56",Cerrado
19,5547,2025-10-10, 5714.06 ,Cerrado
21,8637,2025-06-06,"4,335.01",Abierto
22,6924,16/11/2025, 10436.86 ,Cerrado
23,5261,10-15-25, 6636.22 ,Abierto
24,17180,13-06-2025, 6183.83 ,Cerrado
26,7930,2025-12-10, 1326.94 ,Abierto
29,18397,2025-12-19,1485.06,Abierto
31,14500,17/01/2026,-,Cerrado
33,2231,21-09-2025, 2443.90 ,Rechazado
34,14393,2025/03/30,-,Cerrado
35,15273,2025-01-03,"13,959.68",Cerrado
36,16929,06-01-2025, 3649.94 ,Cerrado
37,504,2025-09-15,"1.143,51",Rechazado
38,1202,21/10/2025,"2,154.09",Cerrado
39,551,2025/03/26,-,Abierto
40,8220,04-30-25,"1.081,73",Cerrado
43,11680,05-13-25, 10535.93 ,Cerrado
44,17906,22/06/2025,"8.580,31",Abierto
45,15100,27-01-2025,8761.24,Abierto
46,2860,13/07/2025,-,Rechazado
47,6904,2025/04/08,7795.35,Abierto
48,503,08-29-25,"3,740.29",Rechazado
52,22187,08-19-25,"4,886.00",Cerrado
53,11106,06-23-25, 2182.44 ,Cerrado
54,14544,07-27-25,"2,132.56",Cerrado
57,11757,09-04-25,"3.215,08",Cerrado
59,4806,16/01/2025,"2,856.71",Cerrado
60,15711,2025/08/31,2916.65,Cerrado
62,14407,2025-04-05,"8.013,21",Cerrado
64,10093,2025-11-30,"11.004,28",Cerrado
65,19562,2025-05-29,"14,057.33",Cerrado
66,14064,25-03-2025,9842.05,Abierto
67,5049,26-05-2025,"13.723,01",Rechazado
70,18587,18/12/2025,"5.912,93",Cerrado
73,14099,09-05-25,11459.27,Abierto
74,3314,23/10/2025,14502.38,Cerrado
75,9867,2025/08/16,"1.888,27",Abierto
77,8700,2025-09-05,"9.948,91",Abierto
78,4535,12/02/2026,"8,534.49",Cerrado
79,7460,2025-08-21, 11711.43 ,Cerrado
84,2227,26/09/2025,"10.158,82",Abierto
87,23591,2025/03/09,1777.81,Abierto
88,14027,2025/03/18,10253.14,Abierto
89,12761,04-22-25,"14.870,71",Abierto
90,21277,2025-05-21, 6602.43 ,Rechazado
91,80,2025-12-09,"12.229,82",Abierto
93,1928,31-01-2025,12706.47,Abierto
96,17713,2026-02-21,"7,797.66",Abierto
97,13086,2025/01/01,-,Rechazado
99,18399,27-06-2025,"2.077,75",Cerrado
101,24142,21-06-2025, 1602.59 ,Abierto
102,8858,2025/01/16, 5155.20 ,Cerrado
105,19541,28-09-2025, 4267.91 ,Cerrado
106,2501,2025/11/29, 511.10 ,Abierto
109,9413,2025/07/21,"4.356,60",Cerrado
110,16745,2025/03/27, 8484.21 ,Abierto
111,2641,12/04/2025, 11886.43 ,Cerrado
112,6548,2025/10/27, 13134.70 ,Cerrado
113,8649,01-22-26, 10126.28 ,Abierto
114,5370,10-03-2025,"7,762.70",Cerrado
115,24834,2025/10/08,12189.58,Abierto
116,8222,05-04-25,-,Abierto
120,21805,2025/12/07,"12,403.48",Abierto
121,3645,10-04-25,13084.42,Rechazado
123,8567,09-22-25, 5749.70 ,Rechazado
125,17509,2025-11-09, 1154.08 ,Cerrado
126,13007,10-17-25, 13629.62 ,Rechazado
127,424,29/07/2025, 1595.62 ,Cerrado
129,8836,02-03-25, 1652.79 ,Abierto
133,5720,28/02/2025,-,Abierto
134,7223,22/04/2025,-,Abierto
135,24992,02-08-25,302.32,Abierto
136,9670,05-31-25,"6.040,15",Cerrado
137,23959,2025/05/26,13295.74,Cerrado
138,22384,2025/11/10,"9.051,84",Abierto
139,21305,2025-12-12,12134.64,Rechazado
140,21427,2025-10-11,"12.522,96",Abierto
141,25512,26/12/2025,"8,366.08",Abierto
142,14587,2026-02-17,-,Abierto
143,2790,13-10-2025,-,Rechazado
144,7956,01/01/2025,"8,822.70",Abierto
145,5744,2025-07-24, 3902.65 ,Abierto
146,5630,16-02-2025,6370.38,Cerrado
147,3192,02-21-26, 9549.21 ,Cerrado
148,9556,06-19-25,-,Cerrado
149,9146,14/11/2025, 2981.78 ,Abierto
150,14981,31-01-2025,"13.415,37",Rechazado
151,2464,2025/02/14,"3,627.56",Cerrado
152,22723,09-09-2025,"9,937.98",Abierto
156,16853,09-03-2025,"1,390.48",Abierto
157,22187,03-04-25,4984.64,Cerrado
158,8637,08/02/2025,12772.25,Rechazado
159,2123,12-11-2025,"6,450.16",Cerrado
160,13528,16-03-2025,3582.61,Abierto
162,17558,16/12/2025, 2904.94 ,Abierto
164,3953,06-27-25, 14622.50 ,Cerrado
165,3478,03-20-25,"5.989,33",Cerrado
167,19661,2025/10/29,5398.38,Cerrado
168,6501,2025/10/20, 3552.32 ,Cerrado
169,23178,04/12/2025,4944.75,Cerrado
171,6401,2025-11-02,"13.258,53",Rechazado
172,10449,29/03/2025,"3,349.56",Abierto
173,11295,24-04-2025,"12.085,03",Rechazado
174,25761,12/10/2025,"9,433.77",Rechazado
176,14992,03-10-25,7840.46,Abierto
178,22497,2025/09/24,"12.188,69",Cerrado
181,3779,2025/05/19,"2,915.04",Abierto
182,6051,2025-07-15,"4.083,60",Abierto
184,13385,08-07-2025,5142.95,Rechazado
185,23960,2025/03/25,2485.00,Cerrado
187,17116,2026/01/25,"8,263.06",Rechazado
190,15565,2025/06/23,-,Abierto
191,23374,13-06-2025,14690.50,Cerrado
192,24819,07-12-2025,"764,29",Abierto
194,13685,2026-02-08,8942.15,Abierto
195,3021,22/02/2026,1043.99,Rechazado
196,4434,11/03/2025,"1,158.74",Cerrado
198,3833,2025-08-18,"9.016,27",Rechazado
199,15158,2025/09/12,-,Abierto
200,8648,24-03-2025, 6486.31 ,Cerrado
203,21133,2025/07/10, 4564.31 ,Rechazado
205,15065,09/02/2026,"14,726.41",Cerrado
206,5583,04-03-2025, 11554.34 ,Cerrado
207,10666,2025/03/09,"10,303.63",Abierto
208,5006,2025/05/24,"4.504,93",Cerrado
210,14034,08-20-25,"12.036,08",Cerrado
211,18427,18-12-2025,"6.967,73",Cerrado
213,1279,07-02-2025,"13.118,01",Rechazado
214,16890,2026-01-25,"2,780.04",Abierto
215,13337,02-08-2025, 14527.75 ,Abierto
217,14431,2025/09/27,"2.510,93",Abierto
218,5896,27-10-2025, 10531.67 ,Cerrado
220,2535,2025/12/19,"5.001,06",Abierto
221,2986,2025-02-12,9139.78,Cerrado
222,13632,05-06-25, 14814.18 ,Cerrado
224,19260,14/02/2026,"5,466.39",Abierto
226,12950,08-05-25,"2,683.64",Cerrado
227,2933,17-10-2025, 5919.45 ,Cerrado
228,9398,09-26-25,-,Abierto
229,16087,2025/06/11,"5.957,36",Cerrado
230,19159,09/01/2025,"1,517.87",Cerrado
231,16670,2025-09-17, 12582.50 ,Rechazado
232,3014,03-07-25,9726.96,Cerrado
233,11033,04/03/2025,9170.56,Abierto
235,23798,2025/07/10,"10,657.43",Abierto
239,22979,2025/11/05,-,Cerrado
241,20874,29-01-2025,"5,212.81",Cerrado
242,10437,03/06/2025, 14596.52 ,Rechazado
245,5447,20/08/2025,"14.464,74",Abierto
246,11329,2025-01-10,11681.88,Abierto
248,11871,25/01/2026,804.82,Cerrado
252,2267,01-11-25,12762.64,Abierto
253,1765,2026/01/31,10785.64,Abierto
254,22116,03-14-25,"5,059.14",Cerrado
257,15563,04-27-25,7905.89,Cerrado
258,7251,2025/09/04,"359,56",Abierto
259,19809,21/09/2025,10058.57,Cerrado
261,9851,2025-12-31,"1,092.58",Rechazado
263,6744,2025/05/06,"8.228,53",Abierto
265,217,12-11-25,"3,763.55",Abierto
266,18359,22/07/2025,"11.326,78",Rechazado
268,18702,11/03/2025,5803.93,Abierto
270,21104,2025-08-28, 8284.25 ,Abierto
272,11306,2025/10/12,"6,748.93",Abierto
273,14467,03-20-25,2855.89,Abierto
