id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,829.53,,139253.11,"fecha_emision_vacio,comision_vacio"
2,2026-02-16,2408,35,11,12,,12.22,27544.32,prima_vacio
5,2026-02-13,945,23,9,11,,324.08,123407.75,prima_vacio
6,2025-05-02,1295,17,1,1,943.49,,71968.43,comision_vacio
8,2026-01-11,887,77,3,8,1670.56,258.75,,monto_asegurado_vacio
9,2025-02-28,1670,66,8,12,,131.85,125804.84,prima_vacio
11,2025-03-21,2590,25,8,4,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
12,2025-10-19,1521,14,11,5,726.02,,86216.65,comision_vacio
15,2025-12-27,1954,62,13,4,85.94,,7574.33,comision_vacio
16,2025-01-07,424,19,5,11,,39.07,,"prima_vacio,monto_asegurado_vacio"
17,2025-10-09,856,73,14,8,832.85,,94675.98,comision_vacio
18,2025-01-15,123,75,2,5,,39.57,36567.17,prima_vacio
20,2025-03-26,522,32,1,3,487.69,117.43,,monto_asegurado_vacio
21,2026-01-13,179,34,2,9,1709.14,1963.14,,monto_asegurado_vacio
22,2025-09-07,2160,71,5,5,,172.42,124757.66,prima_vacio
24,2025-04-26,302,15,15,9,,8.98,15865.44,prima_vacio
25,2025-02-13,101,34,8,2,,286.75,269942.16,prima_vacio
29,,1101,7,8,12,,54.06,,"fecha_emision_vacio,prima_vacio,monto_asegurado_vacio"
31,2025-08-07,1847,45,4,2,,229.13,117309.88,prima_vacio
32,2025-07-28,388,22,6,4,822.52,,,"comision_vacio,monto_asegurado_vacio"
34,2025-12-01,1969,41,10,5,,256.53,202107.44,prima_vacio
35,2025-01-19,1139,79,1,3,1847.73,191.44,,monto_asegurado_vacio
38,2025-04-21,2327,39,13,7,,113.68,156124.02,prima_vacio
39,2025-11-15,629,62,11,7,,206.36,75584.63,prima_vacio
40,2025-08-09,25,47,6,9,1300.11,189.22,,monto_asegurado_vacio
42,,2455,31,5,11,308.02,58.25,60616.48,fecha_emision_vacio
44,,1701,10,14,10,946.36,153.66,153121.65,fecha_emision_vacio
47,,2482,18,3,2,1555.6,242.77,69252.65,fecha_emision_vacio
48,2025-07-16,259,29,14,1,,46.88,55688.51,prima_vacio
56,2025-03-09,2767,28,7,8,73.11,,7064.28,comision_vacio
57,2025-04-16,852,4,13,1,,,213051.32,"prima_vacio,comision_vacio"
58,2025-03-29,454,6,15,8,,213.26,78055.76,prima_vacio
59,2025-02-01,1934,18,1,2,1253.51,,149260.92,comision_vacio
60,2026-01-26,3686,51,6,2,,,28102.81,"prima_vacio,comision_vacio"
64,2025-07-20,1081,75,8,1,109.72,17.48,,monto_asegurado_vacio
